spotted,battles_on_stunning_vehicles,hits,battle_avg_xp,draws,max_xp,survived_battles,wins,losses,capture_points,battles,damage_dealt,damage_received,max_frags,shots,frags,max_damage,xp,avg_damage_assisted,piercings,user_id,nickname,wn8
2859,0,7722,326,21,1629,264,979,949,1380,1949,736406,1035387,9,13113,1007,4326,635936,214.35,5063,633262084,K2blackpanter_70430209,"707,90"
263,0,2821,166,6,693,195,315,279,2054,600,87178,91408,5,8250,332,1007,99426,22.59,59,619174179,RenamedUser_1230963,"356,73"
11606,452,80019,352,187,1797,4343,8464,9340,9249,17991,9887489,14984513,7,127424,11860,4475,6332658,228.23,53973,630669190,Mafia_751,"688,58"
2559,0,17063,228,53,1260,1075,2021,2178,5145,4252,1271118,1751174,5,27720,2204,2013,969386,113.82,10456,567516275,PaulMuatib,"548,99"
1787,0,8390,176,12,1198,218,730,857,3883,1599,210729,573915,5,20220,511,1336,281650,88.49,4631,523683008,leo_568,"183,26"
1105,19,9381,314,24,1417,459,945,951,1135,1920,855872,1071013,7,17950,1306,3149,602146,143.02,6019,630082020,_SORS_12,"727,64"
10639,46,61933,463,193,2141,3631,7494,8408,21948,16095,11347362,11340534,8,131895,10023,7303,7458961,211.23,31863,502264167,Schutti84,"844,51"
1626,0,7480,653,11,2141,350,604,479,697,1094,989973,749768,7,10981,1194,5619,714411,325.56,5361,559715734,Noob_Satan,"1842,67"
4141,55,23199,384,82,2202,1320,2737,2825,6087,5644,3994351,4614784,8,43598,3823,4993,2168477,273.18,10459,611850718,Kirill_ca,"962,02"
550,0,2009,178,5,1101,88,286,366,1036,657,61450,250036,5,6479,142,1415,116871,74.15,940,544897425,BlackDevil_accurate,"42,74"
103409,303,342083,519,721,2360,10957,33192,36526,78355,70439,56830598,89215062,8,457814,37949,6577,36555015,417.81,239838,510265749,marosbardejov,"794,28"
47823,293,184731,555,383,2523,6945,17382,16762,33173,34527,31590032,31553931,9,277867,23844,7920,19164339,352.09,85874,503464751,sebapl77,"1230,06"
3993,577,33970,310,73,1748,1984,3134,3423,7864,6630,2676647,3139876,6,66928,4027,2849,2057148,141.44,20363,541971407,Hoci81,"666,17"
4664,342,23129,293,35,1497,1395,2969,3415,3940,6419,2757270,4610890,6,46001,3135,4155,1880654,169.62,13747,527718509,rovin_1,"502,43"
27388,25,173782,672,251,2628,9001,15826,13940,31113,30017,34704294,26835986,9,261680,31155,7547,20165993,373.41,117769,637559157,cudge,"1666,11"
